0 2 {'length': 1.0, 'IsRoad': True}
0 1 {'length': 2.8284271247461903, 'IsRoad': True}
0 3 {'length': 3.0, 'IsRoad': True}
0 16 {'length': 11.40175425099138, 'IsRoad': True}
0 36 {'length': 0}
1 2 {'length': 2.23606797749979, 'IsRoad': True}
1 3 {'length': 2.23606797749979, 'IsRoad': True}
1 33 {'length': 0}
2 3 {'length': 2.0, 'IsRoad': True}
3 4 {'length': 4.47213595499958, 'IsRoad': True}
3 6 {'length': 5.0990195135927845, 'IsRoad': True}
4 6 {'length': 1.4142135623730951, 'IsRoad': True}
4 5 {'length': 3.1622776601683795, 'IsRoad': True}
4 17 {'length': 14.035668847618199, 'IsRoad': True}
4 30 {'length': 19.03733174580934, 'IsRoad': True}
4 35 {'length': 0}
5 6 {'length': 2.0, 'IsRoad': True}
5 8 {'length': 4.242640687119285, 'IsRoad': True}
5 7 {'length': 6.0, 'IsRoad': True}
5 20 {'length': 10.0, 'IsRoad': True}
6 7 {'length': 6.324555320336759, 'IsRoad': True}
7 21 {'length': 6.082762530298219, 'IsRoad': True}
7 22 {'length': 14.560219778561036, 'IsRoad': True}
7 34 {'length': 0}
8 10 {'length': 1.0, 'IsRoad': True}
8 9 {'length': 1.4142135623730951, 'IsRoad': True}
8 15 {'length': 3.0, 'IsRoad': True}
8 29 {'length': 12.649110640673518, 'IsRoad': True}
9 10 {'length': 2.23606797749979, 'IsRoad': True}
9 15 {'length': 2.23606797749979, 'IsRoad': True}
9 16 {'length': 4.123105625617661, 'IsRoad': True}
9 20 {'length': 8.94427190999916, 'IsRoad': True}
9 30 {'length': 12.133424908079336, 'IsRoad': True}
10 11 {'length': 2.23606797749979, 'IsRoad': True}
10 12 {'length': 4.123105625617661, 'IsRoad': True}
10 32 {'length': 0}
11 12 {'length': 2.0, 'IsRoad': True}
11 13 {'length': 2.23606797749979, 'IsRoad': True}
12 13 {'length': 2.23606797749979, 'IsRoad': True}
13 15 {'length': 4.0, 'IsRoad': True}
13 19 {'length': 12.649110640673518, 'IsRoad': True}
14 17 {'length': 4.0, 'IsRoad': True}
14 16 {'length': 4.242640687119285, 'IsRoad': True}
14 29 {'length': 5.0, 'IsRoad': True}
14 28 {'length': 9.486832980505138, 'IsRoad': True}
15 16 {'length': 2.8284271247461903, 'IsRoad': True}
15 19 {'length': 8.94427190999916, 'IsRoad': True}
16 17 {'length': 3.1622776601683795, 'IsRoad': True}
17 22 {'length': 3.605551275463989, 'IsRoad': True}
17 29 {'length': 8.06225774829855, 'IsRoad': True}
18 19 {'length': 1.0, 'IsRoad': True}
18 20 {'length': 3.1622776601683795, 'IsRoad': True}
18 23 {'length': 3.1622776601683795, 'IsRoad': True}
18 21 {'length': 5.385164807134504, 'IsRoad': True}
19 20 {'length': 2.23606797749979, 'IsRoad': True}
19 23 {'length': 4.123105625617661, 'IsRoad': True}
19 21 {'length': 4.47213595499958, 'IsRoad': True}
19 25 {'length': 6.708203932499369, 'IsRoad': True}
20 21 {'length': 2.23606797749979, 'IsRoad': True}
22 25 {'length': 2.0, 'IsRoad': True}
22 24 {'length': 2.8284271247461903, 'IsRoad': True}
22 23 {'length': 4.0, 'IsRoad': True}
22 26 {'length': 6.082762530298219, 'IsRoad': True}
23 24 {'length': 2.8284271247461903, 'IsRoad': True}
23 27 {'length': 7.211102550927978, 'IsRoad': True}
23 31 {'length': 0}
24 25 {'length': 2.0, 'IsRoad': True}
24 26 {'length': 5.0, 'IsRoad': True}
24 27 {'length': 7.211102550927978, 'IsRoad': True}
25 26 {'length': 4.123105625617661, 'IsRoad': True}
25 27 {'length': 8.94427190999916, 'IsRoad': True}
26 28 {'length': 8.0, 'IsRoad': True}
27 30 {'length': 17.596022277776303, 'IsRoad': True}
28 29 {'length': 5.0, 'IsRoad': True}
29 30 {'length': 0}
